00	– (wird nicht vergeben)
01 	Dresden, Riesa, Meißen, Bischofswerda
02 	Görlitz, Bautzen, Hoyerswerda, Zittau
03 	Cottbus, Finsterwalde, Forst (Lausitz), Spremberg
04 	Leipzig, Altenburg, Eilenburg, Torgau
05 	– (Reserve)
06 	Halle (Saale), Dessau-Roßlau, Quedlinburg, Zeitz
07 	Gera, Jena, Saalfeld/Saale, Greiz
08 	Plauen, Zwickau, Aue, Klingenthal
09 	Chemnitz, Annaberg-Buchholz, Zschopau, Freiberg
10 	Berlin Innenstadt
11 	Bundesinstitutionen in Berlin
12 	Südliches und südöstliches Berlin
13 	Nördliches Berlin
14 	Potsdam und südwestliches Berlin, Rathenow, Luckenwalde, Brandenburg an der Havel
15 	Frankfurt (Oder), Eisenhüttenstadt, Fürstenwalde/Spree, Königs Wusterhausen
16 	Oranienburg, Eberswalde, Pritzwalk, Schwedt/Oder
17 	Neubrandenburg, Greifswald, Neustrelitz, Usedom
18 	Rostock, Stralsund, Güstrow, Bergen auf Rügen
19 	Schwerin, Ludwigslust, Wittenberge, Parchim
20 	Hamburg Mitte
21 	Südliches und östliches Hamburg und Umland, Lüneburg, Buxtehude, Stade, Reinbek
22 	Hamburg Nord/West, Norderstedt, Ahrensburg, Wedel
23 	Lübeck, Bad Segeberg, Wismar, Mölln
24 	Kiel, Flensburg, Schleswig, Neumünster
25 	Westküste (Elmshorn, Itzehoe, Sylt)
26 	Oldenburg, Wilhelmshaven, Emden, Aurich
27 	Großraum Bremen Bremerhaven, Cuxhaven, Delmenhorst, Helgoland, Neuwerk
28 	Bremen, Ottersberg, Schwanewede, Syke, Stuhr, Weyhe
29 	Celle, Uelzen, Salzwedel, Lüchow
30 	Hannover, Garbsen, Langenhagen, Laatzen
31 	Hannover Umland, Hameln, Hildesheim, Peine, Schaumburg
32 	Herford, Minden, Detmold, Löhne
33 	Bielefeld, Paderborn, Bad Driburg, Gütersloh
34 	Kassel, Hannoversch Münden, Korbach, Warburg
35 	Gießen, Wetzlar, Marburg, Dillenburg
36 	Fulda, Bad Hersfeld, Bad Salzungen, Alsfeld
37 	Göttingen, Höxter, Eschwege, Osterode am Harz
38 	Braunschweig, Salzgitter, Wolfsburg, Halberstadt
39 	Magdeburg, Stendal, Oschersleben, Staßfurt
40 	Düsseldorf, Hilden, Mettmann, Ratingen
41 	Mönchengladbach, Neuss, Viersen, Erkelenz
42 	Wuppertal, Velbert, Solingen, Remscheid
43 	– (Reserve)
44 	Dortmund, Lünen, Herne, Bochum
45 	Essen, Mülheim an der Ruhr, Recklinghausen, Gelsenkirchen
46 	Oberhausen, Bottrop, Bocholt, Wesel
47 	Duisburg, Krefeld, Moers, Kleve, Wesel
48 	Münster, Rheine, Nordhorn, Coesfeld
49 	Osnabrück, Melle, Ibbenbüren, Lingen (Ems)
50 	Köln (linksrheinisch plus Deutz), Frechen, Brühl, Bergheim
51 	Köln (rechtsrheinisch ohne Deutz), Leverkusen, Bergisch Gladbach, Gummersbach
52 	Aachen, Eschweiler, Düren, Heinsberg
53 	Bonn, Remagen, Siegburg, Euskirchen
54 	Trier, Wittlich, Daun, Prüm, Bitburg
